hallgato;Height;neme;lefekves;felkeles;Drink
1;67;female;-2,5;5,5;víz
2;64;female;1,5;8;üdítõ
3;61;female;-1,5;7,5;tej
4;61;female;2;8,5;víz
5;70;male;0;9;üdítõ
6;63;female;1;8,5;víz
7;61;female;1,5;7,5;víz
8;64;female;0,5;7,5;üdítõ
9;66;female;-0,5;7;víz
10;65;male;2,5;8,5;tej
11;72;male;0;6,5;tej
12;63;female;-1;7;víz
13;67;female;2,5;6,5;üdítõ
14;63,5;female;-1;7,5;tej
15;72;male;2,5;8,5;üdítõ
16;65;female;-0,5;7;víz
17;62;female;0;8,5;víz
18;66;male;2,5;8;üdítõ
19;71;male;0,5;7,5;víz
20;64;female;-1,5;7,5;víz
21;71;male;1,5;8;víz
22;61;female;1,5;7,5;víz
23;56;female;1;8;víz
24;71;male;2;10;tej
25;63;female;0;9;üdítõ
26;65;female;-0,5;6;víz
27;68;male;0,5;8;víz
28;64;female;1,5;10;üdítõ
29;59;female;0,5;8,5;víz
30;61,5;female;1,5;8,5;víz
31;70;male;3;11;víz
32;64;female;1,5;7,5;víz
33;63;female;2;9;üdítõ
34;71;male;1;9,5;víz
35;73;male;0,5;8,5;víz
36;66;female;1;7;víz
37;66;female;0,5;9;üdítõ
38;63;female;2;7,25;tej
39;67;female;1,5;8,5;üdítõ
40;76;female;-0,5;9,5;víz
41;61;female;2;10;víz
42;63;female;-0,5;9,5;víz
43;62;female;0,5;7,5;üdítõ
44;65;female;-1;9,5;tej
45;68;female;-1;6,5;víz
46;63;female;1;6;víz
47;62;female;2,5;8;víz
48;72;male;1;8,5;üdítõ
49;66;female;2;10;üdítõ
50;62;female;-0,5;8,5;víz
51;67;female;1,5;9;tej
52;64,5;female;-0,5;9;üdítõ
53;66;female;2,5;9,5;üdítõ
54;65;female;2;9;víz
55;NA;female;1,5;8,5;víz
56;65;female;0;9;üdítõ
57;65;female;0,5;8,5;tej
58;67;female;4;11;üdítõ
59;64;female;0,5;9;üdítõ
60;67;female;0;8;víz
61;64;female;-1;7;víz
62;66;female;0,5;7,5;víz
63;67;male;3;9;víz
64;65;female;0;6;víz
65;72;male;0,5;9;víz
66;73;male;-1;8;tej
67;71;male;1,5;7,5;üdítõ
68;73;male;1,5;10,5;üdítõ
69;72;male;0;11;üdítõ
70;68;male;2;10;víz
71;64;female;2,5;8;víz
72;68;female;3;8,5;víz
73;62;female;1,5;6,5;üdítõ
74;66;male;-0,5;7,5;víz
75;76;male;0,5;9,5;üdítõ
76;55;female;3;10,5;üdítõ
77;69;female;-1;9,5;víz
78;71;male;2,5;7,5;üdítõ
79;68;female;-0,5;10,5;üdítõ
80;68;male;3,5;7;tej
81;62;female;1,5;11;víz
82;73;male;4,5;10,5;üdítõ
83;62;female;1,5;10,5;víz
84;61;female;3,5;8;víz
85;70;male;2,5;10,5;tej
86;68;female;0,5;10;üdítõ
87;60;female;1,5;8,5;víz
88;68;female;1,5;9;víz
89;71;male;3,5;8,5;üdítõ
90;56;female;1,5;8;víz
91;67;female;0,5;9;víz
92;69;female;-1;6,5;víz
93;74;male;0,5;8,5;tej
94;72;female;2;7,5;víz
95;76;female;0;7;üdítõ
96;76;male;2;9,5;víz
97;70;male;2;9,5;üdítõ
98;64;female;0;7;üdítõ
99;72;female;0,5;7;üdítõ
100;66;female;1,5;8;víz
101;63;female;1;9;víz
102;63;female;0;6,5;üdítõ
103;64;female;1,5;7;víz
104;72;male;3;8;üdítõ
105;69;female;0;7;tej
106;54;female;1;8;tej
107;64;female;1,5;7,5;víz
108;62;female;5;9;víz
109;70;male;0,5;8,5;víz
110;64;female;1;10,5;víz
111;75;male;2,5;11,5;víz
112;NA;female;0;7,5;üdítõ
113;64;female;-1;7,5;víz
114;71;male;0;6;tej
115;66;female;-0,5;7,5;tej
116;71;male;-1;7;tej
117;65;female;0,5;6,5;víz
118;72;male;1;7,5;tej
119;64,5;female;1;7;üdítõ
120;65;female;1;7,5;víz
121;74;male;-0,5;8;üdítõ
122;61;female;0,5;8;üdítõ
123;69;female;0,5;7;üdítõ
124;70;male;2;7,5;üdítõ
125;74;male;1,5;6,5;víz
126;64;female;0;7;víz
127;62;female;0,5;7,5;víz
128;70;male;0,5;7,5;víz
129;68;female;1;7;víz
130;62;female;NA;NA;víz
131;64,5;female;-0,5;7,5;tej
132;67;female;0,5;7,5;víz
133;71;male;3,5;7;üdítõ
134;72;male;1;7,5;tej
135;62;female;0;8;víz
136;65;female;1,5;7,5;víz
137;68;male;3,5;8;víz
138;66;female;0,5;7;víz
139;62;female;-2;8,5;víz
140;70,5;male;1,5;8,5;NA
141;70;male;0,5;9;üdítõ
142;67;female;-1;7,5;víz
143;73;male;2;8;víz
144;66;female;1,5;8;üdítõ
145;68;male;-0,5;7,5;tej
146;61;female;1,5;7,5;tej
147;63;female;0;8;víz
148;74;male;1,5;8;víz
149;66;female;1;7;üdítõ
150;69;male;0,5;6,5;víz
151;63;male;0;8;víz
152;72;male;1;7,5;víz
153;67;female;1;8;üdítõ
154;71;male;-0,5;7;víz
155;75;male;-1;8;NA
156;62,5;female;1,5;8,5;víz
157;59,75;female;0;8;víz
158;64;female;-1;8,5;víz
159;67;female;3,5;8,5;víz
160;70;male;2,5;7,5;víz
161;77;male;1,5;8,5;tej
162;69;male;1,5;8,5;tej
163;54;female;-0,5;6,5;víz
164;60;female;0,5;8,5;tej
165;68;male;1;9;víz
166;69;male;0;8;víz
167;63;female;2;9;tej
168;75;male;1;9;víz
169;70;male;0,5;8,5;üdítõ
170;69;male;0;7,5;üdítõ
171;63;female;-0,5;7,5;üdítõ
172;64;female;0,5;8,5;víz
173;65;female;-0,5;6;üdítõ
174;70;male;0,5;8,5;üdítõ
175;67;female;-0,5;7;víz
176;75;male;-2;7,5;víz
177;62;female;-0,5;8,5;tej
178;71;male;2,5;7,5;tej
179;68;male;-0,5;7;víz
180;66;female;-0,5;6;víz
181;70;male;-0,5;6;víz
182;74;male;-0,5;7;üdítõ
183;67;female;-1;6,5;üdítõ
184;64;female;0,5;7;víz
185;68;female;0,5;7;víz
186;64;female;1,5;7;üdítõ
187;61;female;2;7;üdítõ
188;79;male;1;7;víz
189;63;female;1,5;7;víz
190;64;female;1,5;7;tej
191;71;female;2;6,5;víz
192;61;female;-0,5;7,5;víz
193;NA;male;0;7,33;tej
194;NA;male;2;7,5;NA
195;61;female;-0,5;6,5;víz
196;71;female;-1,5;7,5;üdítõ
197;60,5;female;1,5;7;tej
198;58,5;female;-0,5;7;üdítõ
199;66,5;female;2,5;9;tej
200;66;female;2;7,5;víz
201;64;female;3,5;8,5;víz
202;60;female;1,5;8,6;víz
203;65;female;-0,5;7,25;víz
204;63;female;1,5;8;víz
205;69;female;0;8;víz
206;66;female;0,5;9,5;üdítõ
207;67;female;0,5;9;üdítõ
208;62;female;-0,5;8;víz
209;67;female;2;8,5;tej
210;65;female;2,5;9,5;víz
211;69;male;1,5;8;tej
212;67;female;0,5;8;víz
213;64;female;1;10;tej
214;67;female;1,5;8,25;víz
215;69;male;2;8,5;tej
216;72;male;1,5;12;víz
217;65;male;1,5;8,5;tej
218;64;female;0,3;7,9;víz
219;62;male;2,5;10,5;üdítõ
220;64;female;1,5;9,5;víz
221;66;female;1,5;9,5;víz
222;64;female;-0,5;6,5;tej
223;66;female;0;8,5;víz
224;65,5;female;-0,5;8,5;víz
225;66;male;1;10,5;üdítõ
226;74;male;1,5;6,5;tej
227;68;male;1,5;8,5;tej
228;67;male;1,5;8,5;víz
229;71;male;2,5;11,5;tej
230;71,5;male;2,5;9,5;víz
231;70;male;3;10;üdítõ
232;63;female;1;8;üdítõ
233;70;male;0,5;7,5;üdítõ
234;63;female;5;8,5;víz
235;68;female;1;9;víz
236;67;female;3,5;10,75;tej
237;73;male;0;8;üdítõ
238;70;male;1;10,5;tej
239;68;male;-1;6;víz
240;71;male;1;6;tej
241;69;female;-0,5;6,5;víz
242;72;male;1,5;10,5;víz
243;72;male;2,5;9;üdítõ
244;70;male;2;10;víz
245;60;female;3;11,5;víz
246;62;female;1,5;10,5;víz
247;68;female;-1;8,5;üdítõ
248;72;male;2,5;10;üdítõ
249;69;female;0,5;10;víz
250;70;male;0;8,5;víz
251;61;female;0,5;9,5;üdítõ
252;66;female;2,5;9,5;víz
253;73;male;0,5;8,5;víz
254;70;female;1;10;tej
255;71;female;2,5;9;víz
256;72;male;1,5;8,5;üdítõ
257;66;female;3;8,5;víz
258;70;male;3,5;9;üdítõ
259;67;female;3,5;9,5;tej
260;62;female;0;8;tej
261;62;female;1,5;7,5;üdítõ
262;64;female;1,5;8,5;üdítõ
263;67;male;1;11;víz
264;70;male;1,5;7,5;víz
265;70;female;2;9;víz
266;71;male;4;11,5;üdítõ
267;68;male;4;12;üdítõ
268;71;male;1,5;9;tej
269;65,5;female;1;9;víz
270;62,5;female;-0,5;8;víz
271;84;female;2,5;6,5;víz
272;72;male;3,5;12,5;víz
273;60;female;2,5;9,5;tej
274;70;male;2,5;7,5;tej
275;68;male;2,5;8;víz
276;71;male;0,5;8;víz
277;62;male;-2,5;2,5;tej
278;62;female;3,5;10;tej
279;65;female;3;12;tej
280;66;female;2,5;10;üdítõ
281;60;female;0;7;víz
282;67,5;female;0;7;víz
283;58;female;1,5;7,5;NA
284;64;female;1,5;7,5;víz
285;73;female;2;7,5;víz
286;68;male;2;7,6;víz
287;64;female;0,5;7;üdítõ
288;70;male;-0,5;7,5;tej
289;67;female;0,5;7,5;víz
290;63;female;2;7;víz
291;68;female;0,5;7,5;üdítõ
292;72;male;0;8;víz
293;73;male;-0,5;7,5;víz
294;61;male;-0,5;6,8;tej
295;60;female;-0,5;7,5;üdítõ
296;62;female;-0,5;6,5;tej
297;63;female;0,5;6;tej
298;66;female;-0,5;6,5;víz
299;68;female;1;8;víz
300;63;female;-0,5;6,5;víz
301;78;female;0,5;7,5;üdítõ
302;67;male;3,5;7,5;víz
303;74;male;-1;NA;víz
304;62;female;0;7,5;NA
305;67;female;1;8,5;víz
306;63;female;-1,5;8;víz
307;62;female;0,5;10,5;víz
308;64;female;0,5;9,5;víz
309;68;female;0,5;8;víz
310;66,929;male;NA;12;üdítõ
311;72;male;2,5;9,5;víz
312;67,5;female;2;9,5;víz
313;64;female;-0,5;9;víz
314;79;male;0;9;víz
315;66;male;1;6,5;üdítõ
316;64;female;1;8;víz
317;64;female;0,5;7,5;víz
318;64;female;0;5,5;víz
319;68;male;2;9;tej
320;70;male;0;8,5;tej
321;70;female;-1,5;6;üdítõ
322;65;female;3,5;8,5;víz
323;62;female;-0,5;7,5;víz
324;67;female;0;8,5;víz
325;69;male;2;8,5;víz
326;74;male;-0,5;9,5;víz
327;65;female;3,5;8;üdítõ
328;68;male;-0,5;6;üdítõ
329;60;female;-1,5;9,5;tej
330;66;female;3;10;tej
331;65;female;3,5;11;víz
332;68;male;2,5;9;víz
333;67;male;2,5;11;üdítõ
334;72;male;0,5;9;üdítõ
335;65;female;0,5;8,5;üdítõ
336;67;male;0,5;9;üdítõ
337;72;male;1;8,5;víz
338;67;female;0;10;tej
339;72;male;1,5;8,5;víz
340;66;male;1,5;8;víz
341;NA;male;5,5;10,5;üdítõ
342;73;male;1,5;7;tej
343;71;male;5;12;üdítõ
344;71;male;0;9;víz
345;72;male;0;9;víz
346;66;female;-0,5;11;víz
347;69;female;-2;5;üdítõ
348;72;female;2,5;10,5;víz
349;65;female;0,5;7;víz
350;67;female;2,5;8,5;víz
351;65;female;0,5;7;víz
352;65;female;-0,5;7,5;víz
353;62;female;1,5;11;víz
354;71;male;-0,5;7;NA
355;63;female;0,5;8,5;üdítõ
356;65;female;1;7;üdítõ
357;63;female;1,5;8,5;víz
358;67;female;0,5;8;tej
359;69;female;2;9;víz
360;72;female;2;8,5;víz
361;68;female;0;8,5;tej
362;60;female;1;9,5;víz
363;62;female;2;8,5;víz
364;65;female;-1;9;üdítõ
365;70;male;0;9;víz
366;66;female;0;7;víz
367;64;female;1,5;9,5;víz
368;70;male;1;10,5;víz
369;67;female;-0,5;8;víz
370;66;female;1,5;7,5;víz
371;67;female;1;8,5;üdítõ
372;62;female;1;10;víz
373;64;female;-1;8,5;víz
374;62;female;4;10,5;tej
375;63;female;-0,5;8,5;víz
376;64;female;0,5;9,5;víz
377;64;female;-0,5;9,5;tej
378;61;female;0;10;tej
379;64;female;1,5;7,5;tej
380;62;female;-0,5;8;víz
381;67;female;1,5;7,5;víz
382;65;female;2,5;8,5;víz
383;66;male;2,5;8,5;víz
384;72;male;0;7,5;üdítõ
385;64;female;1;9;víz
386;70;male;2;10,5;víz
387;67;male;0,5;8,5;üdítõ
388;63;female;0;8;víz
389;75;male;-1;8;üdítõ
390;74;male;2;8,5;tej
391;67;male;1;6,5;üdítõ
392;62;female;0,5;8,5;víz
393;72;female;-1,5;5,5;víz
394;65;female;4;9;NA
395;69;female;1,5;9,5;víz
396;70;female;1,5;11;víz
397;64;female;2,5;7,5;víz
398;66;female;-0,5;7,5;víz
399;60,5;female;1,5;5,5;tej
400;66;female;1;8,5;víz
401;72;male;4;9,5;üdítõ
402;72;male;1,5;9,5;tej
403;64;female;0;10;víz
404;65;female;-0,5;7,5;víz
405;62;female;2;9;víz
406;64;female;-0,5;7;víz
407;65;female;2,5;7,5;víz
408;68;male;1,5;8;tej
409;73;male;3;11,5;üdítõ
410;71;male;2,5;10,5;üdítõ
411;62;female;1,5;9,5;üdítõ
412;62;female;1,5;8,5;víz
413;62;female;-0,5;9,5;üdítõ
414;63;female;0;8,5;tej
415;70;male;-2;10;víz
416;71;male;4,5;9;víz
417;64;female;3;10,5;tej
418;64;female;3;10,5;tej
419;NA;female;0;10;üdítõ
420;74;male;2;10;víz
421;64;female;1;9;tej
422;60;female;0,5;8,5;víz
423;77;female;2;10;üdítõ
424;58;female;-1;10;tej
425;61;female;4,5;9;víz
426;66;male;2;6;víz
427;72;male;2,5;8,5;víz
428;70;female;1,5;7,7;víz
429;69;male;2,5;12,5;üdítõ
430;65;female;2,5;11,5;víz
431;69,5;female;1,5;9;üdítõ
432;72;female;2;8,5;üdítõ
433;63;female;1,5;7;üdítõ
434;67;male;0,5;8,5;tej
435;69;male;-0,5;8,5;üdítõ
436;73;male;-0,5;9,5;víz
437;70,5;male;2;9,5;tej
438;60;female;2;7;üdítõ
439;70;male;0,5;8,5;víz
440;60;female;2;7;üdítõ
441;68,5;female;0;7;üdítõ
442;60;female;-1;6,5;üdítõ
443;59;female;-1;7;víz
444;64;female;-0,5;6,5;víz
445;66;female;-1,5;5,5;víz
446;68;female;1;7;víz
447;66;female;0;7,5;víz
448;61;female;0,5;6,5;víz
449;74;male;1;7;üdítõ
450;62;female;2,5;7;tej
451;64;female;0,5;7;víz
452;66;female;0;7,5;víz
453;62;female;1;7;víz
454;67;female;2;7;üdítõ
455;68;male;-1,5;7;tej
456;61,5;female;3;7,5;tej
457;70;male;-0,5;7;üdítõ
458;66;female;0;6,7;üdítõ
459;64;female;0,5;7,5;víz
460;67;female;0,5;7,5;víz
461;66;female;-1,5;6;tej
462;62;female;0;7;víz
463;62;female;-0,5;7,5;tej
464;73;male;3,5;8,5;üdítõ
465;64;female;-1,5;8;víz
466;67,5;female;-1;8;víz
467;65;female;1,5;8;víz
468;65;female;1,5;8,5;víz
469;59;male;0,5;8;üdítõ
470;69,5;female;0;9;víz
471;65;female;-0,5;8;tej
472;71;male;0;8;víz
473;62;female;0,5;8,5;víz
474;63;female;0,5;7;víz
475;72;male;1;8;víz
476;61;male;-0,5;8,5;víz
477;65;female;0;8,5;tej
478;60;female;0,5;9;tej
479;64;female;1;8,5;víz
480;67;female;0;7;víz
481;65;female;-0,5;8,5;üdítõ
482;63;female;1,5;8,5;víz
483;61;female;4;9;víz
484;60,5;female;1,5;5,5;tej
485;63;female;-0,5;7;víz
486;65;female;1;8;tej
487;68;female;1,5;7,5;víz
488;64;female;-0,5;8,5;üdítõ
489;72;male;1;10;üdítõ
490;65;female;-0,5;7;víz
491;62;female;1;8;víz
492;68;female;1,5;9;üdítõ
493;64;female;0,5;8,5;üdítõ
494;62;female;1,5;7,5;üdítõ
495;65;female;0;8;tej
496;62;female;1,5;8;víz
497;70;male;1,5;7,5;víz
498;56;female;1,5;8,5;üdítõ
499;72;male;0,5;7,5;víz
500;71;male;1;8;víz
501;71;male;1;8;víz
502;74;male;4;8,5;víz
503;63;female;2,5;8;üdítõ
504;68;female;2,5;8;víz
505;60;female;0;7,5;üdítõ
506;69,5;female;0,5;6,5;tej
507;69;female;0;8;víz
508;70;male;0;7;NA
509;70;male;1,5;11,5;tej
510;67;male;1,5;10,5;víz
511;75;male;1;9;üdítõ
512;65;female;2,5;11;víz
513;66;female;0,5;9,5;víz
514;72;male;-2;8;tej
515;64;female;1;8,5;víz
516;73;male;1;8,5;víz
517;71;male;1,5;8;víz
518;62;female;0,5;9,5;víz
519;67;male;1;10,5;víz
520;65;female;2,5;11;tej
521;65;female;-1;7,5;víz
522;68;female;2,5;9;víz
523;66;female;1;7;üdítõ
524;75;male;3,5;9,5;víz
525;69;male;-0,5;9,5;üdítõ
526;66,5;female;0;7,5;víz
527;63;female;0,5;8,5;tej
528;65;female;2;7,5;tej
529;78;male;-2;7;tej
530;62;female;-1;6,5;tej
531;70;male;2;7,5;üdítõ
532;60;female;2,5;9,5;víz
533;70;male;0;7;üdítõ
534;64;female;0,5;9;tej
535;63;female;0,3;7,5;NA
536;64;female;-0,5;7;tej
537;65;female;1,5;10,5;üdítõ
538;63;female;1;11;víz
539;74;male;1,5;10,5;víz
540;72;male;4,5;8;üdítõ
541;76;male;5,5;9,5;tej
542;70;female;0;8,5;üdítõ
543;65;female;1,5;8;víz
544;68;male;1;8;tej
545;69;female;-0,5;8;víz
546;73;male;2;8;üdítõ
547;63;female;0;6,5;víz
548;62;female;NA;1;üdítõ
549;66;female;0;8;víz
550;71;female;1;8;üdítõ
551;64;female;1;7,5;víz
552;62;female;1,5;7;víz
553;67;female;-0,5;9,5;üdítõ
554;67;female;0;9;tej
555;64;female;-1,5;6,5;víz
556;63;female;3;8,5;víz
557;62;female;-0,5;7;víz
558;68;female;2,5;9;víz
559;60;female;6;8,5;NA
560;69;female;2;7,5;víz
561;70;female;1,5;7,5;víz
562;67;female;1,5;9,5;üdítõ
563;67;female;1;7;üdítõ
564;66;male;3,5;11,5;tej
565;70;male;1,5;10;víz
566;72;male;3,5;9,5;tej
567;67,5;female;2;8;üdítõ
568;70;male;0;8;üdítõ
569;74;male;0;8;víz
570;63;female;-0,5;6;víz
571;62;female;2,5;9,5;víz
572;64;female;3,5;12,5;üdítõ
573;69;female;2,5;7;üdítõ
574;64;female;-0,5;7,5;üdítõ
575;75,5;male;1,5;11;üdítõ
576;68;female;1,5;8,5;víz
577;74;male;0;10;víz
578;64;female;2;10;víz
579;68;female;1,5;10;víz
580;67;female;-0,5;10,5;víz
581;69;female;2,5;6;üdítõ
582;63;female;-0,5;8;üdítõ
583;66;female;1;10;víz
584;61;female;1;7;üdítõ
585;62;male;-1,5;8,5;víz
586;NA;female;-0,5;8,5;víz
587;66;male;0,5;8;víz
588;65;female;1,5;8;víz
589;73;male;0;7,5;tej
590;70;male;0,5;6,5;víz
591;71;male;1;6,5;víz
592;61;female;1;12;víz
593;63;female;3;12;víz
594;64;female;2,5;10;üdítõ
595;65;female;4;11;üdítõ
596;65;female;1,5;8,5;víz
597;70;male;4,5;10,5;víz
598;69;female;2;8,5;víz
599;65;female;0,5;8,5;víz
600;63;female;1,5;10;víz
601;65;female;0;9;víz
602;66;female;2;9;víz
603;68;female;-0,5;8;üdítõ
604;61;female;0;7,5;víz
605;NA;female;0,5;5;víz
606;NA;female;3;12,5;NA
607;71,75;male;1;13;tej
608;NA;female;2,5;10;üdítõ
609;66;female;0,5;8,5;víz
610;68;female;0;8,5;víz
611;65;female;0;8;víz
612;60;female;1;10;üdítõ
613;71;male;2;8;víz
614;72;male;1;9;üdítõ
615;73;male;1;10,5;víz
616;64;female;-0,5;7,5;üdítõ
617;69;female;0,5;9,5;víz
618;64;female;1;7,5;víz
619;72,5;male;0,5;10;üdítõ
620;66;female;2;10,5;üdítõ
621;67;female;-2;7;víz
622;67;female;2,5;8;üdítõ
623;66;male;0,5;8;víz
624;72;male;2;8;tej
625;70;male;3;10,5;víz
626;72;male;2,5;8;üdítõ
627;64;female;1;10;üdítõ
628;64;female;2;8;üdítõ
629;65;male;3;11,5;víz
630;71;male;1,5;8,5;tej
631;71;male;-0,5;12;üdítõ
632;70;male;1,5;9;víz
633;71;male;0,5;8,5;üdítõ
634;67;female;2;9;víz
635;61;female;0,5;8;víz
636;67;female;-1;8;tej
637;64;female;0,5;8;víz
638;67;female;4;9;víz
639;66,5;female;2,5;9;víz
640;61;female;0;8,5;víz
641;63;female;1,5;11;víz
642;66;female;-1;8;víz
643;57,75;female;0;6,8;víz
644;66;female;0,5;10;üdítõ
645;64;female;1,5;12,5;üdítõ
646;68;female;2;8,5;üdítõ
647;67;female;0;7;üdítõ
648;68;female;-0,5;7,5;víz
649;65;female;4,5;11;üdítõ
650;74;male;1,5;6,5;víz
651;72;male;3,5;12,5;tej
652;68;female;0,5;9,5;víz
653;71;female;-1;9;víz
654;66;female;-1,5;9;üdítõ
655;67;female;0;9,5;üdítõ
656;68;male;2,5;7,7;üdítõ
657;69;male;3,5;11,5;víz
